,xml,x,y,defocus,JPG,atlas_path,mic_path,scale,angle,offset_x,offset_y
0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693094_Data_23694760_22_20250923_144750.xml,254.19469317799715,-133.39645065154383,-1.5999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693094_Data_23694760_22_20250923_144750.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
1,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693094_Data_23694769_22_20250923_144755.xml,254.43122697645694,-132.8716610390878,-1.5999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693094_Data_23694769_22_20250923_144755.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
2,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693094_Data_23694815_22_20250923_144800.xml,253.79187340498808,-132.9706590405427,-1.5999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693094_Data_23694815_22_20250923_144800.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
3,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693101_Data_23694760_0_20250923_144433.xml,267.5257362751011,-123.74792452294624,-0.7999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693101_Data_23694760_0_20250923_144433.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
4,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693101_Data_23694769_0_20250923_144452.xml,267.7632792585359,-123.22414811435114,-0.7999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693101_Data_23694769_0_20250923_144452.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
5,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693101_Data_23694815_0_20250923_144457.xml,267.12295310442966,-123.32318003660565,-0.7999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693101_Data_23694815_0_20250923_144457.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
6,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693125_Data_23694760_8_20250923_144806.xml,254.37242462371108,-130.4079095795167,-1.8,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693125_Data_23694760_8_20250923_144806.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
7,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693125_Data_23694769_8_20250923_144811.xml,254.60993105029917,-129.88308587301137,-1.8,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693125_Data_23694769_8_20250923_144811.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
8,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693125_Data_23694815_8_20250923_144816.xml,253.96863219101448,-129.9821517308626,-1.8,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693125_Data_23694815_8_20250923_144816.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
9,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693130_Data_23694760_7_20250923_144502.xml,264.57869841562973,-123.47745407081908,-1.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693130_Data_23694760_7_20250923_144502.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
10,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693130_Data_23694769_7_20250923_144507.xml,264.8172506986557,-122.95469111980715,-1.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693130_Data_23694769_7_20250923_144507.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
11,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693130_Data_23694815_7_20250923_144513.xml,264.1778972535548,-123.05368904229813,-1.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693130_Data_23694815_7_20250923_144513.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
12,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694760_6_20250923_144518.xml,270.4701546756859,-124.01047510138136,-1.2,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694760_6_20250923_144518.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
13,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694769_6_20250923_144524.xml,270.7086338093647,-123.48561742719603,-1.2,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693134_Data_23694769_6_20250923_144524.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
